parc	rep	bl	trt	trt_id	row	col	GY_SR_FI	GY_SR_MWS	GY_C_SWS
103	1	6	72	72	6	18	10432	9194.5	2370
104	1	6	184	184	6	17	11447.5	9764	2835
105	1	6	18	18	6	16	9180.5	8729	2623.5
106	1	6	96	96	6	15	8968.5	8390	2245
107	1	6	240	240	6	14	9587.5	8594	2127
108	1	6	335	335	6	13	9114	8929.5	1612
109	1	6	374	374	6	12	10404	8842	2556
110	1	6	340	340	6	11	9949	7825	2559.5
111	1	6	131	131	6	10	8878	9802	2481
112	1	6	376	376	6	9	10405	9441	1580
113	1	6	280	280	6	8	8774	8935	2239.5
114	1	6	159	159	6	7	10063	9291	3043
115	1	6	10	10	6	6	9624.5	10356	5000
116	1	6	227	227	6	5	9823	9204	4175.5
117	1	6	341	341	6	4	10652.5	8860	3884.5
118	1	6	81	81	6	3	9679	10515.5	4518
119	1	6	53	53	6	2	9498.5	10895	3163.5
120	1	6	185	185	6	1	8252	9241.5	3287.5
121	1	7	355	355	7	1	8306	9244.5	4194
122	1	7	317	317	7	2	8069	8137.5	3717
123	1	7	383	383	7	3	7139	7568.5	3197.5
124	1	7	121	121	7	4	10551.5	7777.5	3735
125	1	7	9	9	7	5	11171	9261.5	3780.5
126	1	7	114	114	7	6	8846	8922.5	NA
127	1	7	309	309	7	7	8120	7777	3544
128	1	7	188	188	7	8	9592.5	9667	5030.5
129	1	7	379	379	7	9	11503	9597.5	5013.5
130	1	7	129	129	7	10	8727.5	7848.5	4217.5
131	1	7	236	236	7	11	10465.5	8495.5	2819.5
132	1	7	192	192	7	12	11194.5	10488.5	4176
133	1	7	111	111	7	13	11103.5	9385	3246.5
134	1	7	389	278	7	14	10539	8989	4291.5
135	1	7	128	128	7	15	11593.5	9332.5	4395
136	1	7	16	16	7	16	9945.5	9379.5	3877
137	1	7	74	74	7	17	10482.5	8910	2790.5
138	1	7	219	219	7	18	7889.5	6675	2350.5
139	1	7	215	215	7	19	9841.5	8371	1707.5
140	1	7	250	250	7	20	8172.5	6567	1388
141	1	8	104	104	8	20	11929.5	9579	2529.5
142	1	8	13	13	8	19	12277.5	9992	2519.5
143	1	8	239	239	8	18	9735.5	9421	2614.5
144	1	8	102	102	8	17	12264.5	9798.5	3250.5
145	1	8	156	156	8	16	12019	10445	1734.5
146	1	8	57	57	8	15	10204	9689.5	3017.5
147	1	8	398	279	8	14	11657	10363.5	1908.5
148	1	8	323	323	8	13	9779	8067.5	2401.5
149	1	8	201	201	8	12	9150.5	9866	2801.5
150	1	8	52	52	8	11	9667	8787.5	2352.5
151	1	8	255	255	8	10	8934	9143.5	2180
152	1	8	273	273	8	9	10089.5	8698.5	2088
153	1	8	224	224	8	8	9754.5	8247.5	1912.5
154	1	8	329	329	8	7	9741	8167	1899
155	1	8	154	154	8	6	10063	10071	2152
156	1	8	167	167	8	5	12062	10461	2495
157	1	8	130	130	8	4	10106	8907	2147.5
158	1	8	169	169	8	3	11713	5788	3382
159	1	8	120	120	8	2	11297	10949.5	2285
160	1	8	284	284	8	1	9903.5	9908	2407
161	1	9	133	133	9	1	9952	9711.5	3531
162	1	9	353	353	9	2	7572.5	7935.5	3934
163	1	9	132	132	9	3	11061.5	10698.5	4980
164	1	9	88	88	9	4	11648.5	10515.5	3101
165	1	9	313	313	9	5	10215.5	9143.5	3119
166	1	9	20	20	9	6	11098.5	10351	2888.5
167	1	9	61	61	9	7	10450	10008.5	2685
168	1	9	27	27	9	8	9851.5	8685.5	2925
169	1	9	394	279	9	9	11511	9861.5	2499
170	1	9	286	286	9	10	11647.5	11250	3300
171	1	9	8	8	9	11	10996.5	10711.5	3746
172	1	9	382	382	9	12	9717.5	9485.5	3540
173	1	9	195	195	9	13	9692	9476	3814.5
174	1	9	234	234	9	14	9167.5	9025.5	4088.5
175	1	9	80	80	9	15	9375	10321	5163.5
176	1	9	392	278	9	16	10245	9299.5	4643
177	1	9	17	17	9	17	8609	9087	2910
178	1	9	315	315	9	18	7792.5	7394	2642
179	1	9	233	233	9	19	7914	8271.5	3359.5
180	1	9	319	319	9	20	10067	9293	2851
181	1	10	6	6	10	20	12295	10903.5	2768.5
182	1	10	107	107	10	19	10924	9308	4266
183	1	10	157	157	10	18	10107.5	9849	3894.5
184	1	10	251	251	10	17	9070.5	7194	1929
185	1	10	164	164	10	16	11174.5	8547	3579.5
186	1	10	115	115	10	15	9149	8415.5	3580
187	1	10	149	149	10	14	9725	9329.5	4500
188	1	10	170	170	10	13	11305	9925	3380
189	1	10	294	294	10	12	10470.5	8734	3578.5
190	1	10	348	348	10	11	11269.5	9490	3605
191	1	10	372	372	10	10	10887.5	8929.5	2491
192	1	10	214	214	10	9	9830.5	8184	4290.5
193	1	10	101	101	10	8	12860	11127.5	3785
194	1	10	282	282	10	7	10133.5	8720	2433
195	1	10	259	259	10	6	12158	10451	1702
196	1	10	19	19	10	5	11089.5	8436.5	1029
197	1	10	189	189	10	4	12435.5	10817	2448.5
198	1	10	223	223	10	3	9346	8155.5	1936.5
199	1	10	193	193	10	2	12408	10004.5	1967
200	1	10	180	180	10	1	10516.5	9996.5	2414.5
201	1	11	260	260	11	1	10755	9002	3499.5
202	1	11	299	299	11	2	8775.5	7423	2094.5
203	1	11	321	321	11	3	8942	8409.5	1690
204	1	11	212	212	11	4	10977	9397	1805
205	1	11	84	84	11	5	11158.5	9843	2121.5
206	1	11	5	5	11	6	10422.5	9978.5	2566.5
207	1	11	139	139	11	7	9939.5	8450	5765
208	1	11	200	200	11	8	9296.5	9299	4081
209	1	11	363	363	11	9	10427.5	8554	2100.5
210	1	11	339	339	11	10	8575	8039.5	2108
211	1	11	15	15	11	11	10880.5	9158.5	2964.5
212	1	11	241	241	11	12	10787	8246.5	2701.5
213	1	11	109	109	11	13	10277.5	8949.5	4024.5
214	1	11	25	25	11	14	9498.5	9341	4284.5
215	1	11	199	199	11	15	8862	7348.5	2463.5
216	1	11	367	367	11	16	9985.5	8053.5	2898.5
217	1	11	205	205	11	17	10462.5	9025	3988
218	1	11	271	271	11	18	10011	9241.5	3685
219	1	11	330	330	11	19	9479.5	7959.5	4266.5
220	1	11	266	266	11	20	11519.5	11077	4928
221	1	12	7	7	12	20	10551	10013	4042
222	1	12	252	252	12	19	8591	9539.5	3445
223	1	12	124	124	12	18	9197.5	8350	2501.5
224	1	12	56	56	12	17	12080.5	10876.5	3387
225	1	12	106	106	12	16	10631.5	10339.5	4771
226	1	12	231	231	12	15	9166.5	8456.5	3760
227	1	12	160	160	12	14	9833.5	8960.5	3447.5
228	1	12	146	146	12	13	8702	8099	4192.5
229	1	12	187	187	12	12	9458.5	10817.5	4012
230	1	12	23	23	12	11	8507.5	8555	4218.5
231	1	12	254	254	12	10	8815	9003	4684.5
232	1	12	158	158	12	9	8630.5	9601	3465
233	1	12	265	265	12	8	11502	10004	3877
234	1	12	172	172	12	7	10244.5	10421.5	4025
235	1	12	308	308	12	6	8851.5	8518.5	2915.5
236	1	12	256	256	12	5	9067	8353	3025
237	1	12	42	42	12	4	10091	9598	2950.5
238	1	12	211	211	12	3	8878.5	8936	2706.5
239	1	12	108	108	12	2	9643	9238	3888
240	1	12	208	208	12	1	9413.5	9479.5	3018
241	1	13	67	67	13	1	11630	10805.5	3155.5
242	1	13	344	344	13	2	11908	9131	3175.5
243	1	13	173	173	13	3	11140.5	8398.5	3200
244	1	13	34	34	13	4	10252.5	10354	2533
245	1	13	176	176	13	5	10416	8388.5	2592
246	1	13	281	281	13	6	10950.5	9304.5	2655
247	1	13	349	349	13	7	10545	9792.5	3051
248	1	13	171	171	13	8	10074	8996	2515.5
249	1	13	337	337	13	9	10056	7625	1898
250	1	13	226	226	13	10	11379.5	9032	2502.5
251	1	13	298	298	13	11	9690	8203.5	3151.5
252	1	13	270	270	13	12	9816	8787.5	3305
253	1	13	142	142	13	13	12228.5	10545	3592
254	1	13	375	375	13	14	11780.5	9264.5	2897.5
255	1	13	112	112	13	15	10398.5	8114.5	2878
256	1	13	332	332	13	16	10338.5	7865.5	2062.5
257	1	13	283	283	13	17	9929	9032.5	4245.5
258	1	13	288	288	13	18	8247.5	7755.5	3217.5
259	1	13	396	279	13	19	10561	9288	2841
260	1	13	235	235	13	20	9884	8661	3018
261	1	14	76	76	14	20	11608	9808.5	3311
262	1	14	345	345	14	19	9486.5	8339.5	2968.5
263	1	14	249	249	14	18	8418	6494.5	2403
264	1	14	356	356	14	17	9979.5	7142.5	3784
265	1	14	359	359	14	16	10381	7924	2952.5
266	1	14	361	361	14	15	9754	8322.5	2571
267	1	14	162	162	14	14	9174	8190	3779.5
268	1	14	245	245	14	13	10476	8477	5329.5
269	1	14	12	12	14	12	11473.5	9915	5316
270	1	14	62	62	14	11	11874	9347	4409
271	1	14	314	314	14	10	8335	7328.5	2897.5
272	1	14	71	71	14	9	11707.5	8687.5	3454
273	1	14	86	86	14	8	11202.5	10176	3658
274	1	14	244	244	14	7	9328.5	7245.5	3289.5
275	1	14	190	190	14	6	11208	9447.5	4418.5
276	1	14	206	206	14	5	10438	9051.5	3877
277	1	14	342	342	14	4	10653	8489	4082.5
278	1	14	4	4	14	3	10281	8071.5	4289.5
279	1	14	216	216	14	2	8960.5	7788	2929
280	1	14	302	302	14	1	11314.5	9734	3385
281	1	15	68	68	15	1	7860.5	8480	3877
282	1	15	377	377	15	2	8376.5	7924.5	3600.5
283	1	15	64	64	15	3	10925	9724.5	3993
284	1	15	136	136	15	4	7961	8109	2401.5
285	1	15	362	362	15	5	8498	8302	2268.5
286	1	15	66	66	15	6	8541.5	8045.5	4073.5
287	1	15	38	38	15	7	9970.5	8058.5	4447
288	1	15	148	148	15	8	9377	9426.5	5694.5
289	1	15	196	196	15	9	10609.5	9707.5	3729
290	1	15	91	91	15	10	7870	7527.5	3650.5
291	1	15	322	322	15	11	7922	7477.5	2290
292	1	15	311	311	15	12	9576	8886.5	4200.5
293	1	15	186	186	15	13	9954	8811.5	4185
294	1	15	40	40	15	14	8432	8615	4197.5
295	1	15	385	278	15	15	10382	9366	5507
296	1	15	268	268	15	16	9719	7982.5	3313.5
297	1	15	75	75	15	17	10548	10436.5	2846
298	1	15	98	98	15	18	8329	7881.5	3256
299	1	15	144	144	15	19	10117	10679.5	2305.5
300	1	15	358	358	15	20	10279	10265.5	2144
301	1	16	373	373	16	20	9831.5	8460.5	2185.5
302	1	16	78	78	16	19	9366	8058	3250.5
303	1	16	32	32	16	18	9821	8512.5	3611
304	1	16	174	174	16	17	9713.5	9040.5	3167
305	1	16	116	116	16	16	9866	8214.5	3733
306	1	16	360	360	16	15	10708.5	7483	3800.5
307	1	16	135	135	16	14	10175	8842	4431
308	1	16	105	105	16	13	9768.5	8574	4094.5
309	1	16	287	287	16	12	10468.5	7795	3418.5
310	1	16	207	207	16	11	10216.5	8738.5	3000.5
311	1	16	24	24	16	10	9521.5	10023	4678
312	1	16	39	39	16	9	10042.5	8157	4468.5
313	1	16	378	378	16	8	9411.5	8235	2966
314	1	16	182	182	16	7	10987	8539	3626
315	1	16	127	127	16	6	8816	7527	3826
316	1	16	368	368	16	5	11069	7344	2175
317	1	16	85	85	16	4	10133	8192.5	2085.5
318	1	16	331	331	16	3	9502.5	7349	2080.5
319	1	16	366	366	16	2	9989.5	6873	1923
320	1	16	350	350	16	1	10605	6747	2483
321	1	17	191	191	17	1	9672.5	8994.5	2462
322	1	17	365	365	17	2	10055	8587.5	2688
323	1	17	14	14	17	3	10972	9051.5	2289.5
324	1	17	49	49	17	4	9710.5	9045	4247
325	1	17	336	336	17	5	9327	8745.5	2743.5
326	1	17	3	3	17	6	9988.5	9340.5	3738
327	1	17	47	47	17	7	9103.5	8501	2590.5
328	1	17	177	177	17	8	9586	9478	4519
329	1	17	285	285	17	9	9708	7740	6843.5
330	1	17	28	28	17	10	10325.5	8951.5	6925
331	1	17	22	22	17	11	8979.5	8099.5	2536
332	1	17	222	222	17	12	9395.5	7650	2755.5
333	1	17	292	292	17	13	10062	9036.5	5441
334	1	17	54	54	17	14	8867	8812.5	4310.5
335	1	17	371	371	17	15	9434.5	9724.5	2503.5
336	1	17	143	143	17	16	9746.5	9018.5	1852
337	1	17	31	31	17	17	9351.5	8820.5	2077
338	1	17	354	354	17	18	7332.5	7899	2832
339	1	17	117	117	17	19	9738	9513.5	3402.5
340	1	17	399	279	17	20	10501.5	9207.5	3545.5
341	1	18	274	274	18	20	9693.5	8451.5	3046
342	1	18	267	267	18	19	9030.5	8993	3575.5
343	1	18	44	44	18	18	9093	8125.5	4399.5
344	1	18	198	198	18	17	10495	9311.5	3578.5
345	1	18	210	210	18	16	8155	8413.5	3068
346	1	18	397	279	18	15	10065	8784	3884
347	1	18	346	346	18	14	9889.5	8175.5	4386.5
348	1	18	384	384	18	13	9317	8196	4204.5
349	1	18	60	60	18	12	9189	9084	3983.5
350	1	18	55	55	18	11	8016	7613.5	3210
351	1	18	93	93	18	10	9345.5	8129	2613.5
352	1	18	58	58	18	9	10401.5	10133.5	2885.5
353	1	18	306	306	18	8	8273.5	6781.5	2160
354	1	18	390	278	18	7	9411	8492.5	3657
355	1	18	165	165	18	6	7720	5788.5	875.5
356	1	18	103	103	18	5	10487.5	9389.5	2211.5
357	1	18	364	364	18	4	7665	7534	1563
358	1	18	338	338	18	3	6296	6154.5	2476
359	1	18	370	370	18	2	10311	7449	3373
360	1	18	320	320	18	1	8140.5	7719.5	4045.5
361	1	19	272	272	19	1	8806.5	8551.5	3288.5
362	1	19	151	151	19	2	9424	8853	3342
363	1	19	264	264	19	3	8905	8955	4096
364	1	19	310	310	19	4	10643.5	8904	3443
365	1	19	333	333	19	5	8030	7564	3133
366	1	19	351	351	19	6	10143.5	9002.5	4018.5
367	1	19	118	118	19	7	10165.5	9177.5	2753
368	1	19	33	33	19	8	10350	8318	4634.5
369	1	19	238	238	19	9	9315.5	9286.5	4211.5
370	1	19	92	92	19	10	7999.5	8158.5	4908
371	1	19	125	125	19	11	8932	8801	3916.5
372	1	19	230	230	19	12	7747.5	8252	2777
373	1	19	181	181	19	13	10098	8967	4490.5
374	1	19	90	90	19	14	7699.5	8003.5	3216.5
375	1	19	183	183	19	15	10783.5	9821	4100.5
376	1	19	46	46	19	16	9596	9543.5	4354.5
377	1	19	300	300	19	17	8286	8013.5	3181
378	1	19	36	36	19	18	9450	9371.5	2505
379	1	19	242	242	19	19	8498	8409	3801.5
380	1	19	278	278	19	20	10417	10368	5906.5
381	1	20	161	161	20	20	7266.5	6623	3703
382	1	20	82	82	20	19	9528	10279.5	3552.5
383	1	20	45	45	20	18	8358.5	7971.5	4218.5
384	1	20	229	229	20	17	6460	6744.5	4375.5
385	1	20	26	26	20	16	7626.5	7856	4301
386	1	20	225	225	20	15	7998	8038	4453.5
387	1	20	263	263	20	14	8500.5	8510.5	5985.5
388	1	20	334	334	20	13	5055	6923	3389
389	1	20	140	140	20	12	6402	7373.5	3835.5
390	1	20	381	381	20	11	9149.5	8991.5	5479.5
391	1	20	41	41	20	10	8557.5	7787	4023
392	1	20	204	204	20	9	9105.5	7719.5	3991
393	1	20	21	21	20	8	8258.5	8024.5	2547
394	1	20	328	328	20	7	7620	6076	2350.5
395	1	20	89	89	20	6	8728	6611	871
396	1	20	73	73	20	5	9505.5	8594.5	1643.5
397	1	20	312	312	20	4	7779.5	7488	2289
398	1	20	37	37	20	3	10648	10308.5	3513.5
399	1	20	293	293	20	2	9388	7907.5	2691
400	1	20	197	197	20	1	10999	10839.5	2335.5
401	2	1	167	167	21	1	10195.5	8220.5	3235
402	2	1	72	72	21	2	9554	8206.5	3324
403	2	1	83	83	21	3	9711.5	7223.5	2484.5
404	2	1	229	229	21	4	7386.5	4726.5	2885
405	2	1	213	213	21	5	10964.5	7187	2817
406	2	1	200	200	21	6	8520.5	7270.5	2291.5
407	2	1	288	288	21	7	9255	4422	2108
408	2	1	108	108	21	8	10320	8709	3710
409	2	1	311	311	21	9	10903	6833.5	4573
410	2	1	78	78	21	10	8671	8105.5	3679.5
411	2	1	259	259	21	11	10437.5	7302.5	4354
412	2	1	389	278	21	12	9476	6790	4669
413	2	1	238	238	21	13	9908.5	7756.5	3464
414	2	1	233	233	21	14	8829	6604	3759.5
415	2	1	138	138	21	15	8499	7416	3291
416	2	1	336	336	21	16	10921	6361.5	3185.5
417	2	1	249	249	21	17	8515.5	3629	1543
418	2	1	69	69	21	18	10254.5	7960.5	2588
419	2	1	210	210	21	19	9922.5	7241	2133
420	2	1	141	141	21	20	10968	8875	2350.5
421	2	2	181	181	22	20	11345.5	10792.5	1014.5
422	2	2	179	179	22	19	8965.5	9823.5	1090.5
423	2	2	99	99	22	18	10831	9730	1519.5
424	2	2	208	208	22	17	8963	10483.5	1564
425	2	2	159	159	22	16	9060	10603	1735.5
426	2	2	394	279	22	15	11153	9668.5	2439.5
427	2	2	54	54	22	14	9742.5	10579.5	2666
428	2	2	37	37	22	13	10890.5	11091.5	3750.5
429	2	2	62	62	22	12	10457	10477.5	2778.5
430	2	2	268	268	22	11	8707.5	9033	1968
431	2	2	77	77	22	10	11299.5	10522.5	2446
432	2	2	5	5	22	9	8630.5	10745.5	3621
433	2	2	287	287	22	8	8482	8147.5	2319
434	2	2	390	278	22	7	9190.5	9729.5	4105
435	2	2	192	192	22	6	10015.5	9697	4375
436	2	2	13	13	22	5	10142.5	9746.5	4338
437	2	2	193	193	22	4	9598.5	10471	3859.5
438	2	2	352	352	22	3	9011.5	8494	2901
439	2	2	235	235	22	2	8101.5	7422	3438
440	2	2	343	343	22	1	9920	8614.5	3134.5
441	2	3	340	340	23	1	9164.5	7902	2215
442	2	3	379	379	23	2	10955	9562	2518
443	2	3	326	326	23	3	7157.5	6357.5	1341
444	2	3	256	256	23	4	9017.5	8014.5	1400
445	2	3	2	2	23	5	10352.5	9971	2978
446	2	3	88	88	23	6	9841	9556.5	3115
447	2	3	199	199	23	7	8778.5	6722.5	1494
448	2	3	157	157	23	8	10155	9972	2823
449	2	3	283	283	23	9	11255.5	8360.5	3235.5
450	2	3	323	323	23	10	8320.5	7009	2241
451	2	3	197	197	23	11	11087.5	10207.5	3322.5
452	2	3	301	301	23	12	8443	7944.5	2514.5
453	2	3	40	40	23	13	8543	8994	2579
454	2	3	44	44	23	14	10858	9192	2760
455	2	3	36	36	23	15	10924.5	7866.5	1466
456	2	3	117	117	23	16	10135	9042	3674
457	2	3	275	275	23	17	9851.5	7765	2078
458	2	3	245	245	23	18	8841	8557.5	2683.5
459	2	3	373	373	23	19	11393.5	8078.5	2123.5
460	2	3	357	357	23	20	7671.5	7243.5	1958.5
461	2	4	385	278	24	20	10458	10478.5	2883
462	2	4	374	374	24	19	10463.5	8470.5	2465
463	2	4	111	111	24	18	10773	10048.5	3608
464	2	4	293	293	24	17	9640	7233.5	2351
465	2	4	289	289	24	16	9402.5	7635.5	1990
466	2	4	375	375	24	15	11195.5	9730.5	2740
467	2	4	178	178	24	14	9930.5	9361	2098.5
468	2	4	60	60	24	13	10927	9765.5	2065
469	2	4	314	314	24	12	9943	8353.5	2528
470	2	4	214	214	24	11	9418.5	7684.5	2529
471	2	4	279	279	24	10	10596	8467	2601
472	2	4	50	50	24	9	9675	8554	2952
473	2	4	368	368	24	8	8171	8687.5	2750.5
474	2	4	272	272	24	7	8356.5	7245	2123
475	2	4	132	132	24	6	11763	9576.5	3689
476	2	4	363	363	24	5	8511.5	6668	2296
477	2	4	23	23	24	4	7882.5	8947.5	2299
478	2	4	166	166	24	3	8766.5	8736	1728
479	2	4	365	365	24	2	10424	7846	2120.5
480	2	4	329	329	24	1	7148	5850	1815.5
481	2	5	251	251	25	1	6998	6108	1589.5
482	2	5	286	286	25	2	10242	9292	2868
483	2	5	281	281	25	3	9107	8170	1888
484	2	5	82	82	25	4	9824	10479	2727
485	2	5	400	279	25	5	9728.5	8771	1579
486	2	5	284	284	25	6	8661.5	9194	1614
487	2	5	3	3	25	7	9372	9475.5	2560.5
488	2	5	386	278	25	8	9883.5	9757.5	3594
489	2	5	121	121	25	9	9174	10113	2971.5
490	2	5	152	152	25	10	7692	9371.5	2832
491	2	5	331	331	25	11	8120	7640	1595.5
492	2	5	297	297	25	12	10270	11182.5	2683.5
493	2	5	240	240	25	13	8096.5	7827	2481.5
494	2	5	165	165	25	14	8531	7819	2318
495	2	5	266	266	25	15	10151.5	10641.5	3494.5
496	2	5	64	64	25	16	8890.5	10652.5	3356
497	2	5	231	231	25	17	9128.5	8120	1870
498	2	5	190	190	25	18	9374.5	10203	2755
499	2	5	393	279	25	19	10232.5	8560	2479
500	2	5	264	264	25	20	10181	8819.5	2443
501	2	6	345	345	26	20	10221	9997	3249.5
502	2	6	45	45	26	19	11476	8843.5	2403
503	2	6	304	304	26	18	9371.5	8505.5	2682
504	2	6	234	234	26	17	8949.5	8534.5	2782
505	2	6	169	169	26	16	9972	11002.5	3818.5
506	2	6	126	126	26	15	9867	9424.5	2695
507	2	6	369	369	26	14	12668.5	9699	2740
508	2	6	219	219	26	13	8312.5	7811	2107.5
509	2	6	182	182	26	12	11321	10927.5	2842.5
510	2	6	377	377	26	11	9547.5	8781.5	1930
511	2	6	354	354	26	10	8688.5	9006	2595
512	2	6	325	325	26	9	9867	9260	2383.5
513	2	6	346	346	26	8	10903.5	8939.5	2818
514	2	6	341	341	26	7	9891.5	9606	2969.5
515	2	6	242	242	26	6	8083.5	7861	2388
516	2	6	202	202	26	5	6393	5283.5	2204.5
517	2	6	223	223	26	4	7763.5	7421	2238
518	2	6	271	271	26	3	11044.5	9831.5	2715
519	2	6	344	344	26	2	10221.5	8160	2845
520	2	6	160	160	26	1	8190.5	9094	1845
521	2	7	93	93	27	1	11114.5	9171	1629
522	2	7	49	49	27	2	10031	7886.5	2029.5
523	2	7	280	280	27	3	8854.5	7837.5	909.5
524	2	7	388	278	27	4	10667.5	10426.5	2130.5
525	2	7	4	4	27	5	9017	7639.5	1637
526	2	7	172	172	27	6	10853	9696	2728
527	2	7	161	161	27	7	8559.5	7822.5	1765
528	2	7	218	218	27	8	8537.5	7618	1896.5
529	2	7	80	80	27	9	8016.5	9751	2571.5
530	2	7	347	347	27	10	11964.5	9197	3319
531	2	7	299	299	27	11	9198.5	7760	2500.5
532	2	7	196	196	27	12	9407	8735.5	3945
533	2	7	360	360	27	13	9534	8510.5	3236.5
534	2	7	355	355	27	14	10047.5	9108.5	2800.5
535	2	7	120	120	27	15	11663.5	10155.5	2188
536	2	7	307	307	27	16	8762	8937	2130.5
